Player,BirthYear,transfermarkt_player_id
Ignasi Miquel,1992,
Ignatius Ganago,1999,
Igor,1998,
Ihlas Bebou,1994,
Ihsan Sacko,1997,
Iker Muniain,1992,
Ilaix Moriba,2003,
Ilan Kebbal,1998,
Iliman Ndiaye,2000,
Ionuț Radu,1997,
Irvin Cardona,1997,
Isaac Hayden,1995,
Isaac Mbenza,1996,
Isco,1992,
Ishak Belfodil,1992,
Islam Slimani,1988,
Ismail Jakobs,1999,
Ismaël Bennacer,1997,
Ismaël Gharbi,2004,
Issa Diop,1997,
Issa Kaboré,2001,
Ivan Cavaleiro,1993,
Ivan Ilić,2001,
Ivan Perišić,1989,
Ivan Provedel,1994,
Ivan Santini,1989,
Ivan Toney,1996,
Iván Alejo,1995,
Iván Marcano,1987,
Iván Marcone,1990,
Iván Villar,1997,
Izzy Brown,1997,
Iñigo Córdoba,1997,
Iñigo Martínez,1991,
Iñigo Ruiz de Galarreta,1993,
Jack Grealish,1995,
Jack Harrison,1996,
Jack Wilshere,1992,
Jacob Bruun Larsen,1998,
Jacob Murphy,1995,
Jacob Rasmussen,1997,
Jacopo Petriccione,1995,
Jadon Sancho,2000,
Jaidon Anthony,1999,
Jaime Seoane,1997,
Jake O'Brien,2001,
Jakub Jankto,1996,
Jakub Kiwior,2000,
Jakub Moder,1999,
Jamal Lewis,1998,
James Maddison,1996,
James McCarthy,1990,
James Rodríguez,1991,
James Tarkowski,1992,
James Ward-Prowse,1994,
Jamie Leweling,2001,
Jamie Murphy,1989,
Jamie Shackleton,1999,
Jan Vertonghen,1987,
Jandrei,1993,
Janik Haberer,1994,
Janis Antiste,2002,
Jannik Vestergaard,1992,
Japhet Tanganga,1999,
Jarrad Branthwaite,2002,
Jason Denayer,1995,
Jason Puncheon,1986,
Jasper Cillessen,1989,
Jaume Costa,1988,
Javairô Dilrosun,1998,
Javi Galán,1994,
Javi García,1987,
Javi Hernández,1998,
Javi López,2002,
Javi Martínez,1988,
Javier Pastore,1989,
Jaïro Riedewald,1996,
Jean Lucas,1998,
Jean Onana,2000,
Jean-Charles Castelletto,1995,
Jean-Clair Todibo,1999,
Jean-Eudes Aholou,1994,
Jean-Kévin Augustin,1997,
Jean-Paul Boëtius,1994,
Jean-Philippe Gbamin,1995,
Jean-Philippe Mateta,1997,
Jean-Ricner Bellegarde,1998,
Jean-Victor Makengo,1998,
Jeanuël Belocian,2005,
Jeff Hendrick,1992,
Jeff Reine-Adélaïde,1998,
Jefferson Lerma,1994,
Jeffinho,1999,
Jeffrey Bruma,1991,
Jeffrey Schlupp,1992,
Jeison Murillo,1992,
Jemerson,1992,
Jens Cajuste,1999,
Jens Odgaard,1999,
Jens Petter Hauge,1999,
Jens Stryger Larsen,1991,
Jerdy Schouten,1997,
Jeremy Toljan,1994,
Jermain Defoe,1982,
Jesper Lindstrøm,2000,
Jesse Lingard,1992,
Jessic Ngankam,2000,
Jesé,1993,
Jesús Corona,1993,
Jesús Vallejo,1997,
Jetro Willems,1994,
Jhon Córdoba,1993,
Jimmy Briand,1985,
Jimmy Cabot,1994,
Jimmy Durmaz,1989,
Joachim Andersen,1996,
Joakim Mæhle,1997,
Joan Jordán,1994,
Joaquín Correa,1994,
Joe Bryan,1993,
Joe Gelhardt,2002,
Joe Hart,1987,
Joe Rodon,1997,
Joe Rothwell,1995,
Joe Willock,1999,
Joe Worrall,1997,
Joel Campbell,1992,
Joel Obi,1991,
Joel Pohjanpalo,1994,
Joelinton,1996,
Johan Mojica,1992,
Johann Lepenant,2002,
Johannes Eggestein,1998,
Johannes Geis,1993,
John Brooks,1993,
Jon Bautista,1995,
Jon Morcillo,1998,
Jonas Hofmann,1992,
Jonas Lössl,1989,
Jonas Martin,1990,
Jonathan Bamba,1996,
Jonathan Cafu,1991,
Jonathan Calleri,1993,
Jonathan Clauss,1992,
Jonathan Schmid,1990,
Jonathan Silva,1994,
Jonjo Shelvey,1992,
Jonjoe Kenny,1997,
Jonny Evans,1988,
Jony,1991,
Jordan Amavi,1994,
Jordan Ayew,1991,
Jordan Beyer,2000,
Jordan Ferri,1992,
Jordan Henderson,1990,
Jordan Lefort,1993,
Jordan Lotomba,1998,
Jordan Lukaku,1994,
Jordan Torunarigha,1997,
Jordan Veretout,1993,
Jordan Zemura,1999,
Jordi Alba,1989,
Jordi Amat,1992,
Jordi Mboula,1999,
Jorge,1996,
Jorge Cuenca,1999,
Jorge Miramón,1989,
Jorge Molina,1982,
Jorginho,1991,
Joris Gnagnon,1997,
Joselu,1990,
Josh Maja,1998,
Josh Sargent,2000,
Josh Sims,1997,
Josh Wilson-Esbrand,2002,
Joshua Brenet,1994,
Joshua King,1992,
Joshua Zirkzee,2001,
Josip Brekalo,1998,
Josuha Guilavogui,1990,
José Callejón,1987,
José Fonte,1983,
José Luis Morales,1987,
José Manuel Jurado,1986,
Jota,1991,
Jota,1999,
João Cancelo,1994,
João Félix,1999,
João Moutinho,1986,
João Mário,1993,
João Palhinha,1995,
Juan Bernat,1993,
Juan Cuadrado,1988,
Juan Foyth,1998,
Juan Jesus,1991,
Juan Mata,1988,
Juan Miranda,2000,
Juan Musso,1994,
Juan Soriano,1997,
Juanmi,1993,
Juanmi Latasa,2001,
Jude Bellingham,2003,
Julen Lobete,2000,
Jules Keita,1998,
Jules Koundé,1998,
Julian Brandt,1996,
Julian Draxler,1993,
Julian Weigl,1995,
Julio Enciso,2004,
Junior Dina Ebimbe,2000,
Junior Firpo,1996,
Junior Messias,1991,
Junior Sambia,1996,
Juraj Kucka,1987,
Jurgen Ekkelenkamp,2000,
Justin Kluivert,1999,
Jérémy Gélin,1997,
Jérémy Pied,1989,
